id,fighter_name,weight_pounds,date_of_birth,height_feet,height_inches
388,Fernando Bruno,145.0,1982-02-24,5.0,6.0
389,Derek Brunson,185.0,1984-01-04,6.0,1.0
390,Josh Bryant,185.0,1980-04-23,5.0,10.0
391,Justin Buchholz,155.0,1983-08-22,6.0,0.0
392,Dennis Bryant,205.0,1985-10-18,6.0,0.0
393,Zak Bucia,170.0,1984-09-27,5.0,10.0
394,Courtney Buck,135.0,1982-03-19,5.0,10.0
395,Julia Budd,145.0,1983-07-04,5.0,7.0
396,Joaquin Buckley,185.0,1994-04-27,5.0,10.0
397,Mike Budnik,145.0,1974-08-08,5.0,9.0
398,Francisco Bueno,225.0,1972-12-23,5.0,9.0
399,Mayra Bueno Silva,135.0,1991-08-22,5.0,6.0
400,Paul Buentello,245.0,1974-01-16,6.0,2.0
401,Modestas Bukauskas,205.0,1994-02-10,6.0,3.0
402,Lee Kwan Bum,286.0,1986-10-12,6.0,2.0
403,Shawn Bunch,135.0,1983-03-19,5.0,5.0
404,Josh Bumgarner,170.0,1981-05-21,6.0,1.0
405,Wuliji Buren,135.0,1989-03-01,5.0,9.0
406,Shane Burgos,145.0,1991-03-19,5.0,11.0
407,Joshua Burkman,170.0,1980-04-10,5.0,10.0
408,Mads Burnell,145.0,1994-03-06,5.0,8.0
409,Mikey Burnett,170.0,1974-04-12,5.0,6.0
410,Josh Burns,244.0,1978-05-15,6.0,1.0
411,Kevin Burns,170.0,1980-03-03,5.0,10.0
412,Herbert Burns,145.0,1988-02-02,5.0,9.0
413,Gilbert Burns,170.0,1986-07-20,5.0,10.0
414,Derrick Burnsed,155.0,1980-06-09,,
415,Nah-Shon Burrell,170.0,1990-02-05,5.0,11.0
416,Martin Buschkamp,145.0,1991-01-06,5.0,9.0
417,Bubba Bush,185.0,1985-07-24,6.0,0.0
418,George Bush,205.0,,6.0,1.0
419,Nick Bustamante,170.0,,5.0,9.0
420,Murilo Bustamante,183.0,1966-07-30,6.0,2.0
421,Jason Butcher,185.0,1984-10-23,6.0,3.0
422,Eduardo Bustillos,135.0,1987-06-02,5.0,8.0
423,Todd Butler,200.0,,6.0,1.0
424,Ian Butler,155.0,,5.0,8.0
425,Goldman Butler,,,,
426,Cheyanne Buys,115.0,1995-06-25,5.0,3.0
427,Raphael Butler,261.0,1984-01-04,6.0,3.0
428,JP Buys,125.0,1996-04-30,5.0,5.0
429,Dennis Buzukja,145.0,1997-10-01,5.0,9.0
430,Charles Byrd,185.0,1983-10-11,5.0,10.0
431,Steve Byrnes,170.0,1979-08-26,6.0,0.0
432,Michael Byrnes,155.0,1990-07-17,5.0,11.0
433,Alvin Cacdac,125.0,,5.0,6.0
434,Yan Cabral,155.0,1983-05-13,5.0,11.0
435,Alex Caceres,145.0,1988-06-20,5.0,10.0
436,Vince Cachero,145.0,1989-11-07,5.0,6.0
437,Priscila Cachoeira,135.0,1988-08-19,5.0,7.0
438,Travis Calanoc,145.0,,5.0,8.0
439,Ricky Calatayud,125.0,1982-10-10,5.0,9.0
440,Darrion Caldwell,135.0,1987-12-19,5.0,10.0
441,Joanne Calderwood,125.0,1985-12-23,5.0,6.0
442,Taylor Callens,155.0,1991-05-21,5.0,10.0
443,Joe Camacho,155.0,1972-03-10,5.0,9.0
444,Cynthia Calvillo,125.0,1987-07-13,5.0,4.0
445,Frank Camacho,170.0,1989-05-18,5.0,10.0
446,Fabricio Camoes,155.0,1978-12-23,5.0,10.0
447,Chris Camozzi,185.0,1986-11-20,6.0,2.0
448,Brian Camozzi,170.0,1991-06-24,6.0,2.0
449,Thomas Campbell,,,,
450,Mike Campbell,155.0,1982-11-15,5.0,9.0
451,Shane Campbell,155.0,1987-01-21,6.0,0.0
452,John Campetella,235.0,,5.0,9.0
453,Wagner Campos,145.0,1981-07-31,5.0,6.0
454,Derek Campos,155.0,1988-04-01,5.0,9.0
455,Will Campuzano,125.0,1986-05-27,5.0,9.0
456,Chico Camus,125.0,1985-01-26,5.0,6.0
457,Asbel Cancio,225.0,,5.0,10.0
458,Aleksa Camur,205.0,1995-09-25,6.0,1.0
459,Carlos Candelario,125.0,1991-06-04,5.0,8.0
460,Ronaldo Candido,125.0,1989-04-24,5.0,6.0
461,Guido Cannetti,135.0,1979-12-19,5.0,6.0
462,Luiz Cane,185.0,1981-04-24,6.0,2.0
463,Cody Canterbury,155.0,,5.0,8.0
464,Jose Canseco,240.0,1964-07-02,6.0,4.0
465,Jared Cannonier,185.0,1984-03-16,5.0,11.0
466,Bo Cantrell,235.0,1969-02-08,6.0,2.0
467,Phil Caracappa,135.0,1992-06-05,5.0,8.0
468,Steve Cantwell,185.0,1986-12-08,6.0,2.0
469,Frank Caracci,,1970-02-16,,
470,Gina Carano,145.0,1982-04-16,5.0,8.0
471,Phil Cardella,155.0,1976-07-09,5.0,11.0
472,Dos Caras Jr.,225.0,1977-05-25,6.0,4.0
473,Remo Cardarelli,135.0,,,
474,Bryan Caraway,135.0,1984-08-04,5.0,8.0
475,Edgar Cardenas,145.0,,,
476,Chris Cariaso,125.0,1981-05-27,5.0,3.0
477,Ronald Carillo,125.0,,,
478,Rafael Carino,245.0,,6.0,8.0
479,Don Carlo-Clauss,170.0,,,
480,Antonio Carlos Junior,185.0,1990-03-16,6.0,2.0
481,Spike Carlyle,145.0,1993-05-06,5.0,8.0
482,Francis Carmont,205.0,1981-10-11,6.0,3.0
483,Liz Carmouche,125.0,1984-02-19,5.0,6.0
484,Ariane Carnelossi,115.0,1992-11-17,5.0,2.0
485,Roan Carneiro,170.0,1978-06-02,5.0,11.0
486,Luana Carolina,125.0,1993-06-11,5.0,6.0
